010007b8,00000002,000ffffe,198030
010009a4,00000002,000ffffe,198345
01000858,00000004,000ffffe,198505
010009bc,00000002,000ffffe,198854
0100096c,0000000f,00080308,199043
010009b0,00000023,00080409,199391
0100087c,0000002e,000005f1,199838
01000a64,00000004,000ffffd,200254
01000ab0,00000002,000ffffe,200753
01000ae4,00000001,000ffffe,201003
01000a78,00000ec9,00080168,201077
01000a98,00000004,000ffffd,201132
010008bc,00000002,000ffffe,201433
01000970,00000002,000ffffe,201585
01000870,00000003,000ffffd,201934
010007d0,00000004,000ffffd,202381
010007ec,00000002,000ffffe,202842
010007fc,00000002,000ffffe,203074
010009b0,00000023,0008040d,203463
010009c8,00000002,000ffffe,203848
01000a48,00000002,000ffffe,204522
01000a44,00000013,0008030b,204652
01000a44,00000013,0008030b,204709
01000ac8,00000007,000ffffd,204726
01000a98,00000004,000ffffd,204738
